m1_q8_state,m1_q50_1_pump_type,m1_q51_elec_agri_satisfaction,m2_q55_grid,m2_q56_micro_aware,m2_q58_micro_use,m2_q59_solar_aware,m2_q60_solar_use,m2_q61_kerolamp_use,m2_q64_alight_read_children,m2_q64_alight_read_adults,m2_q69_elec_hrs,m2_q70_elec_night_hrs,m2_q71_elec_out_days,m2_q74_elec_paysource,m2_q74_elec_paysource_other,m2_q77_electrified_satisfaction,m2_q781_elecunsatisfy_expensive,m2_q782_elecunsatisfy_unavail,m2_q783_elecunsatisfy_quality,m2_q784_elecunsatisfy_repair,m2_q81_grid_availability,m2_q811_ngrid_expensive_connect,m2_q812_ngrid_expensive_bill,m2_q813_ngrid_unreliable,m2_q814_ngrid_dk,m2_q815_ngrid_other_yn,m2_1n2_freeconnection,m3_q83_light_main,m3_q84_1_light_main_adequate,m3_q84_2_light_main_reliable,m3_q84_3_light_main_expensive,m3_q84_4_light_main_safe,m3_q88_light_community_satisfy,m3_q93_light_street_satisfy,m3_q94_1_rank_household_elec,m3_q94_2_rank_street_light,m3_q94_3_rank_prod_elec,m3_q94_4_rank_community_elec,m3_q95_elec_steal,m3_q96_elec_steal_illegal,m3_q97_elec_steal_stop,m6_q136_elec_willpay_urban,m6_q137_support_rank_lpg,m6_q137_support_rank_elec,m6_q137_support_rank_kero,m6_q137_support_rank_water,m6_q137_support_rank_edu,m6_q138_support_solar_lantern,m6_5n1_ddugjy_heard,m6_5n2_ddugjy_electrified,m6_5n3_saubhagya_heard,m6_5n4_saubhagya_electrified,m6_q150_govt_light,m6_q155_1_cook_govt_improv,m6_q155_2_cook_govt_lpg,m6_q155_3_cook_govt_bioplant,m6_q155_4_cook_govt_lpgcyl
BIHAR,,,Yes,No,No,No,Neither,Yes,1,0,16,5,0,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,No,No,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,4,3,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
BIHAR,Diesel Pump,Unsatisfied,Yes,No,No,No,Neither,Yes,1,0,16,3.5,4,Dont Know Where to Pay,,Neutral,,,,,,,,,,,,Kerosene Lamp/Lantern,No,Yes,Yes,No,Unsatisfied,Unsatisfied,1,4,2,3,No,Yes,Yes,No,2,4,5,3,1,Yes,No,,No,,Lighting via Regular Elec Grid,4,1,3,2
BIHAR,Diesel Pump,Satisfied,Yes,No,No,Yes,Solar Home System,Yes,0,0,13,3,10,Dont Know Where to Pay,,Satisfied,,,,,,,,,,,,Solar Home System/Lantern,Yes,Yes,No,Yes,Neutral,Neutral,1,4,3,2,No,Yes,Yes,No,1,5,4,3,2,Yes,No,,No,,Lighting via Regular Elec Grid,4,3,1,2
BIHAR,Diesel Pump,Unsatisfied,Yes,Yes,No,No,Neither,No,2,0,8,3,4,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,Yes,Yes,Satisfied,Satisfied,1,3,4,2,Yes,Yes,Yes,No,2,4,5,3,1,Yes,No,,No,,Lighting via Regular Elec Grid,4,1,3,2
BIHAR,Diesel Pump,Unsatisfied,Yes,No,No,No,Neither,No,0,0,15,2,2,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,Satisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,3,2,5,4,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
BIHAR,,,Yes,No,No,Yes,Solar Home System,No,0,0,15,4,3,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,Yes,Yes,Satisfied,Unsatisfied,4,1,3,2,No,Yes,Yes,No,4,3,5,1,2,Yes,No,,No,,Lighting via Regular Elec Grid,4,2,3,1
BIHAR,,Unsatisfied,Yes,No,No,No,Neither,Yes,6,0,3,2,3,Dont Know Where to Pay,,Unsatisfied,No,Yes,Yes,Yes,,,,,,,,Kerosene Lamp/Lantern,No,No,Yes,No,Unsatisfied,Unsatisfied,1,3,2,4,Yes,Yes,Yes,No,3,2,5,4,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
BIHAR,,,Yes,No,No,No,Neither,Yes,1,0,12,3,5,Representative of Electricity Department,,Unsatisfied,Yes,Yes,Yes,Yes,,,,,,,,Grid Electricity,Yes,No,Yes,Yes,Satisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,3,4,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
BIHAR,,,Yes,Yes,No,Yes,Neither,Yes,0,0,18,4,0,Others,DIDN'T GET BILL YET,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,Unsatisfied,Unsatisfied,2,1,4,3,No,Yes,Yes,No,3,4,5,1,2,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
BIHAR,,,Yes,Yes,No,Yes,Solar Lantern,No,0,0,16,3,8,No one/No Need to pay,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,Unsatisfied,Unsatisfied,2,4,1,3,Yes,Yes,Yes,Yes,4,3,5,2,1,Yes,Yes,No,Yes,No,Lighting via Regular Elec Grid,3,1,4,2
BIHAR,,,Yes,No,No,Yes,Neither,Yes,1,0,18,5,0,No one/No Need to pay,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,Satisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,5,3,4,1,2,Yes,No,,No,,Lighting via Regular Elec Grid,1,4,2,3
BIHAR,,,Yes,No,No,No,Neither,Yes,0,0,22,5,0,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,Yes,Yes,Satisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,2,4,5,3,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
